Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015726258302185218
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12534637831032608
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2879332813969116
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14483917430569318
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010205880667337642
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3086843006265252
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024308176926423987
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013984064623429703
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49994591651626785
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8335732266292644
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24545846048408504
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17717340007767962
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2002546720655266
