Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.024361347217036696,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.011843658593882703,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.013945105945605676,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.16608804589344492,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.010880667021782706,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.06846067086400273,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.012576474635666541,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.019389258551953233,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.07135229914605638,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.05868080739103014,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.02456305142061638,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.15793798272566054,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.3425196924082353,0.0,0.0,0.0,0.0
