Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02241638339238654
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020539332313925754
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315496839062933
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013192789555502222
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012213199614842877
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1706862136143196
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036201262853278904
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05841464616479857
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026837111134608363
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18861416462923544
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04887700693437025
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031057747032013784
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04387953172756811
