Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09590353750059417
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052567629664609414
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37305593550969224
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04239211065703069
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03695347570045765
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20522431275995856
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3539512560042487
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6357730029842168
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027478789028571846
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05871923298705451
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023271697503390178
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024151565510529306
