Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17115416699858146
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04269191373715486
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012742441803050869
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23741067568595478
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18094984016577298
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033653582837161154
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014375109014432253
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012650335785824305
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24543166911446054
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010661733124431427
