Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013547467617585095
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06627598584638895
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013387508759595176
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10683396608766707
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04707986813822625
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01671598530028733
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013334557744431472
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024606679876456577
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037440685252363166
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2049434369691831
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09754346542422548
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06005236766135706
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25865722895627496
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03124157679937368
