Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.1488404735066903,0.0,0.05284761961296156
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9468697462782665
3,0.0,0.0,0.0,0.0,0.0,0.0,0.41814090180428093,0.0,0.12093869964165524
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012508073531331381
5,0.0,0.0,0.0,0.0,0.0,0.0,0.022702013855703855,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07119409429853522
7,0.0,0.0,0.0,0.0,0.0,0.0,0.029785905235979942,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.010453531019766194,0.0,0.5337306774197009
9,0.0,0.0,0.0,0.0,0.0,0.0,0.1819357609302639,0.0,0.3087955710318695
10,0.0,0.0,0.0,0.0,0.0,0.0,0.06488187485184721,0.0,0.029520163964263716
11,0.0,0.0,0.0,0.0,0.0,0.0,0.01462362977212648,0.0,0.24281536820490948
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011078706738845022
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22046529433921902
14,0.0,0.0,0.0,0.0,0.0,0.0,0.05822391152446186,0.0,0.2956916339241094
15,0.0,0.0,0.0,0.0,0.0,0.0,0.012401934393583417,0.0,0.051551673538945894
