Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587802814869937
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3401131265262819
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0765611583135722
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029717325898874762
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46592712126668695
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11575453482520838
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06475919242234715
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20886171507934442
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0341833797057103
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09475882579995425
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19359935256131805
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08053905728864365
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02345272695458745
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380273673360202
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20117398383136512
