Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06783938746025617
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13463310048547633
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025724185021137748
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01712809875569391
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5166813294579864
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010615397027225708
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07000465727696144
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039464802624740516
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26086823966252665
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2034259633418912
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014315470989540625
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016978521258309048
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5232623922500972
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03181749554916902
