Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0419109554775348,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018933303711122743,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026534655447208188,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01222999332652608,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6026887959522789,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09881434479530442,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1223915210859686,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011586271655287373,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026376983855068332,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
