Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03306959549010598
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12092000679373589
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014456144724744982
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25691664439060957
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05964535382276709
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20320524428288603
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04462608331150109
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03867452653360221
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01930454483153085
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17927334015959978
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
