Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04945993454315005,0.05720758211160316
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9229954323890249
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04129444908779646,0.5203341110692312
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013322485079957688,0.0304680045002961
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08173816063463703,0.050069901628785385
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011046589668008915,0.24544464498638086
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032214560935387,0.14834501970553254
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052820810890609665,0.32186263875587295
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5440421313511247
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2068925240579143,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054676777507438476,0.036323591430101825
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38894448517912406
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05875466546982974,0.4325406081409867
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32583613209521045,0.06948344544885414
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029216410199891508,0.04633256524661934
