Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02989826655784014,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09779508292678486,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14373141498698666,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2628451602866553,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07457251823028346,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010195160879858074,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035116485240544996,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011965847090324158,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32547890569730775,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040951595790700485,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049658584087570304,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388319601822842,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4458849016296261,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766336728033876,0.0
