Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.01332475303777748,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.01147199465199349,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.013274926569434131,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.010693377340072734,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.04527699696089353,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.046988234053135444,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.01073456322656235,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0434232211335716,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.018487690037151863,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.1805118216653947,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.43229553392613174,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.014286326216473593,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.02017979606177237,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.1320131066531602,0.0,0.0,0.0,0.0
