Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.1370968767356608,0.0,0.0,0.010294941277665268,0.0
2,0.0,0.0,0.0,0.0,0.2799189468146397,0.0,0.0,0.01574146081408252,0.0
3,0.0,0.0,0.0,0.0,0.50254969400861,0.0,0.0,0.018096330289988125,0.12161331404807688
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01544559231673467,0.43495693618011266
5,0.0,0.0,0.0,0.0,0.6285153740826979,0.0,0.0,0.3160725996486819,0.306032183299951
6,0.0,0.0,0.0,0.0,0.9679417368521723,0.0,0.0,0.013931527199730766,0.2972223721822633
7,0.0,0.0,0.0,0.0,0.13560455705835628,0.0,0.0,0.11799744316287257,0.08975762220065191
8,0.0,0.0,0.0,0.0,0.41049632754166276,0.0,0.0,0.020465282448554216,0.9010140586072831
9,0.0,0.0,0.0,0.0,0.13747374400912246,0.0,0.0,0.02101623967989798,0.12907892799596124
10,0.0,0.0,0.0,0.0,0.07739783347739468,0.0,0.0,0.2154869880518775,0.3070779575302309
11,0.0,0.0,0.0,0.0,0.29473605856572654,0.0,0.0,0.06496954718543756,0.07913664140455758
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020145280769583294,0.01041070552527154
13,0.0,0.0,0.0,0.0,0.028512892547549587,0.0,0.0,0.014196000976046848,0.0
14,0.0,0.0,0.0,0.0,0.06822427339350084,0.0,0.0,0.12199420881707247,0.18787922516354424
15,0.0,0.0,0.0,0.0,0.13491118257493462,0.0,0.0,0.014146557361774543,0.011838101640377574
