Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11839239724365133
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07594431259155139
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31991052705824724
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13140728133932011
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06136675704821662
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558865672270834
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0865112059752152
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20953857746545057
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11521847649441389
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06373209568502601
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15237447064068277
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02764785819626378
