Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09503974540597186,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11626867565768866,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04521128782534868,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031926469103398004,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019352806193607613,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013149620199040889,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014585409297858025,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010077235635759338,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19659291694981249,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061481670144713396,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026121129562146295,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05039030804055394,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30919023943257495,0.0
