Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0338684778716646
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10323391911510423
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020650365906517695
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03443310947080303
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28159595109220725
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22134191850640356
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15861809246777558
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14331117488083892
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619172841968617
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07477115135355147
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01395973616428067
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049309844252956134
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021533781093063198
