Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.011580708231375367,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.17235649132879718,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.06581474093913245,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.2107639786780863,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.012030324666307707,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.02775569355850025,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.03169670166439513,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.02311708983611945,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.014365743939375107,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.1404705622411021,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0368061321122765,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.013830851184811156,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.021250791286704068,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.20889733514122572,0.0,0.0,0.0,0.0,0.0
