Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010537664066255219
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2668142573289613
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051550982994634766
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03699781338265125
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030399126506621632
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3294028315785927
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10929515801103527
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030767093387054256
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07268524186525768
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02273351752329356
