Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036788539989421803
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042185585169684924
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04486656687386994
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04725543599397756
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014772906450323722
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0765272169821587
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03418816380375271
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016177982016616625
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016959043696114923
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042093078554077845
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06916286450069432
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532378012158587
