Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022181798952744372
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031210895540654766
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5605175506150117
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016210677207006956
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28799391101726307
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01380963562605858
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014042643338877798
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010395126813264361
