Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14719430758138036,0.21497970872903624
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014455179405715841,0.26738365363566075
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010807427825577287,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017971389219841427,0.04833441683924658
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012329712306139788,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09498670060878282,0.2648572314851116
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051016183446613725,0.09354335740027143
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11737128462554378,0.035832955617724815
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016999397586361886,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023158138254164455
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011621347157243724,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4680593907762012,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012780402583422883,0.0
