Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021040728004006304
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027137928682744946
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019829378292561237
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27841887338361243
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07049576612656709
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031241069519620964
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052525475436548695
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031799892153056765
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3011140936551202
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1294131301599571
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014548589988622344
