Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.011910950827175854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.05329800010404333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.07131701904790594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.014778210471583257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.011074361208899867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.015268453978199233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.012624590154201835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.550707464804725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.10198578599524413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0459030213579178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.01749574572180485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.011440167518316507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.015064293556496937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.04582840189924811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.02130353335423741,0.0,0.0,0.0,0.0,0.0,0.0,0.0
