Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06796215120298096,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12415378688421615,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058214253008511144,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0629986099738774,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043323716093668675,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013350825959350592,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053727153946527745,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0791852888682718,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03038809250592213,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010577061324826794,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04967983624945071,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04089030383883136,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3544826984133198,0.0
