Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24926038250995353
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2528045803691664
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4168581796177123
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3676102436105927
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22517833564610354
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18784829763767982
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14906815299987755
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21072700020239524
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944896042707726
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9635092744147942
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3509636327691083
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2518467069175285
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20005555077584458
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3213996246306925
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6738857554338277
