Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9122300187857814
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279345569396715
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.720921777617523
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6826932011865663
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6399181441398685
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5604732646382972
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4810047592808622
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5640529166482987
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3284869887866225
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5434925124611243
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1518408853659747
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911549120799783
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4934729909077558
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7191014694934772
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7190351078152942
