Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.012321810211498552,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.1496337644052233,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.02282824002631951,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.07584756863753418,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.03584719929661313,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.28340791930230236,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.012307949048803538,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.06924882175333001,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.1264723236381871,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.10745179062415272,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.07234334882133887,0.0,0.0,0.0
