Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0395334669275884
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32717279857696785
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0545969796300305
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058641136891764374
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012848864848608086
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18588021623228212
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34319341059710595
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11029889690053529
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029536172447273162
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04890812618311622
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22928972640437512
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07700486189665029
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3210376140227158
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019187452334580815
