Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027406296542571377,0.06270255524679
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01684418327190282,0.055238784278937914
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038947699498114156,0.3072417579197154
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010085227521972997,0.038953904022061205
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47884274598349597,0.11543471253883886
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01562845735955241,0.30664192436126475
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01660286344379841,0.11921519388522603
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05808778982479562,0.16257503679448748
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1626683244608607,0.09883676757461353
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1258628721860865,0.294635812475871
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05073608839511817
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016493311384214334,0.49810506496014095
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01803931391765539,0.7776070963977724
