Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01153419314570129
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03589269575775002
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042296623883635795
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023061087626225836
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014878294196031868
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02559201398281421
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11485722793177341
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08744575600560388
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05276681753972588
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0794499831219
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020874396170583166
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4682060916022418
