Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47791963885350663,0.08515593529740464
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09289104062876176
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8138323345762187,0.24882158624396725
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05726421732317266,0.023529325294413015
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08156520795924165,1.19916669415086
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2565865113573148,0.038746848005947805
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6912720569760881,2.2483017840995747
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1465643307510558,0.1243304076921258
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1289172846336728,0.010221967530250347
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07737071538652011,0.16660367193043324
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010342766802946617,0.32564895840073865
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017930810544130222,0.043955748153549135
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04330819524964909,0.05723264077097162
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537183224156253,0.09496733924173288
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03659839317760886,0.056111106939497876
