Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05277053789134709
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05410389291628332
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01391006205838192
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01805338114412839
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05978996053795858
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14637099618227406
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07765091743599502
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07178524860114754
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14791650765366857
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2839392024515709
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045497381114382396
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015169255420328563
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
