Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04877329611991149
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38797958785450437
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026555125524017342
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23535854457850497
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10210740024538968
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01610397004192867
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08387697282580422
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014914353075987732
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04527752585552145
