Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384304722149129
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105002904861391
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5313196486676404
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4746623578798547
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11871659322721048
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17668317305485123
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06641766550101072
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14636809888470698
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024898471740402075
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354222564037585
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
