Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06082568058630826
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027844481224067085
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026021368563652798
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01584575139317825
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016141680039337854
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015407620762703628
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02096428398683368
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01933064791963653
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049350014889905966
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07499456850746986
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1723885006260996
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01015067638568206
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12956320122885776
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08530879637119529
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2758627275150714
