Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01120639328308172,0.032117752238318094
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01355825891519416,0.051635447131672875
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021632659633365244,0.011548901316718471
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038828843048752656,0.020054666252190902
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01689156143714871,0.16127358658114738
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010663852924120627,0.011169356160368885
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014619717827603688,0.04661961705893479
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03473868892603805,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018056723063511096,0.04973379556917296
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036112616563131174,0.0656005366636868
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022926306866334383
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01506185511855382,0.014331503249333657
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018028543890655606,0.07405737589423335
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7321017768798563,0.42219728263241046
