Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06886215196206742
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48183349029173955
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017535773387666962,0.06891199827499458
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017192473879927315,0.07139689353390219
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6006107887312276,0.08852992130982552
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054971925103257005
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05388469846280127,0.16984186236001741
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19877978304760677,0.35359876318561384
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01075691319752276,0.02452044077631712
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013753266421296342,0.7220269072290342
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020337937974013853,0.3689766472542567
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07697156220966235
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0725279512956991
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027896493553317872,0.16736485286331612
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010440683395149558,0.1497864211528768
