Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010973712403562453,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3147186629196055,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015706455722498246,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14591174247779629,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10305414519582477,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25317480537173487,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013495101397757777,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014448471108141653,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01281765846734948,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03670193841182237,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05286214136822764,0.0
