Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1895801573935877
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0656937214385767
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02699930664487298
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013773356714015734
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037855817229191104
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011791817969177134
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017291732355407652
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1614572575877927
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014080973030893456
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42208495622080455
