Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12147070169242186
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2394046150210263
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0419137270189944
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012929878096351922
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06632741863814201
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09011440008562616
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09607158316884591
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19539147374661484
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027193704466672942
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2953377397150159
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014027983331078341
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43653998303752484
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21884293108755482
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11289727472671794
