Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.010701006665141538,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.24481260040469804,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.013891473729581567,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.011866646541775747,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.02705256594610631,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.012817658119471304,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.011388563976043256,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.019430173194444005,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.013741756925105106,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.01911550557538754,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.2027399134855842,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.061809216498318886,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.3338305328671512,0.0,0.0
