Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1623148084350129
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08901451352597198
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21917055614808226
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07988399128161996
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06617002358546577
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03294612417148481
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5356761652917105
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06717996193750564
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029082691632786654
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052191820850271096
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014885592919178035
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16917148128302173
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03192848845785873
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19310600181536403
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18960295268458668
