Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05440777617135291
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027032360960949648
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41451653509143865
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17940502502025843
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04232101372798537
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01112465946228185
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020725503147334883
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1974063429383802
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014038311605827126
