Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036987871595739207
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033088865923322816
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03490453611075564
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019851509710124983
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1122054893043967
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024991427591895876
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017334708895865428
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13360557628755448
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012330479256550387
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3650283939361538
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036043424526590734
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013626968748851985
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04444463503966274
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05986584736067456
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05569026571186072
