Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10432946777382802
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09688870459887863
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05863762063620688
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06564732668080175
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028884092925719307
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01015197533008157
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014903631657565104
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3121662981708987
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010498048239069602
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05854179656306004
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21124342628252588
