Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011346031380032515,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01290263659430447,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2179475829262117,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013426223200737468,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0503583775069724,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015273464002289865,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1797281086291003,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03238015318159102,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11101781866172827,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019022061921615558,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2151870821593179,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03533706665661221,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05914237710118537,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017267373849084833,0.0
