Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012152121429197582,0.08835718925990349
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12238601184228887
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10045880727313171,0.08478146221636916
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606711694945592,0.27367794024780934
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26704753690594646
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16544706664484235
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43477504830416197
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14883101687869615
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3116820387467112
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1419411007838724,0.5375427058113258
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16905204394980208
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02010758518139829,0.17967498955082828
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059190492302005716,0.05438013856076772
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03589083822505368
