Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027179754432692715,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10710165017607132,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05231606521174924,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1772934609447681,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08534564308636435,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3702228638115396,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03647357677192474,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12008987991091158,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05702967806597846,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532287210944489,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16327189256243407,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856296629686,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13416396180559004,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087630693803631,0.0
