Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029150569120710335,0.01483604020650536
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04349860025660277,0.26138409130526485
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14889101656855996,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056383859328533494,0.7107543910186179
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15844550550265937,0.20242963293262387
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015624462311584056,0.08231187756904375
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08591277877348916,0.16903341881623818
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15002248349207623,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15419956786507497,0.09282824941479623
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01269735329051466,0.2254227770135947
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498508310763353,0.021060213821247342
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08059631263199242,0.12494365524778422
