Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6606888475533124,0.7875055526723541
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2053461784467434,0.39004355717316774,0.4854737371073675
3,0.0,0.0,0.0,0.0,0.0,0.0,0.01304464948654344,0.5969272449250409,0.19717285392218578
4,0.0,0.0,0.0,0.0,0.0,0.0,0.017486648980486966,0.03597756042159619,0.12610266348941077
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06985831066570555,0.6705737750310208
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06226798596400932,0.0632662044871306
7,0.0,0.0,0.0,0.0,0.0,0.0,0.023549663303368124,0.31097910009126595,0.05319027478193053
8,0.0,0.0,0.0,0.0,0.0,0.0,0.016415013463700768,0.3099862999738957,0.27950607659380033
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2654865104954437,0.3229384748364208
10,0.0,0.0,0.0,0.0,0.0,0.0,0.07551465419298944,0.047961228530104934,0.08424007216768377
11,0.0,0.0,0.0,0.0,0.0,0.0,0.01931467450730086,0.3645765230071385,0.27273317046068707
12,0.0,0.0,0.0,0.0,0.0,0.0,0.3592636696076815,0.018025994792169313,0.4677402643732714
13,0.0,0.0,0.0,0.0,0.0,0.0,0.06530352197637421,0.1638819778631214,0.12391439082593032
14,0.0,0.0,0.0,0.0,0.0,0.0,0.01714891969494331,1.3898696668115218,0.8361198194312196
15,0.0,0.0,0.0,0.0,0.0,0.0,0.15190248651915925,0.15041077912729656,0.06776848327970497
