Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44182919560817063
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07971128799181607
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636306799480567
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03696983507629713
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1697253566649068
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018890878860854214
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1539329952989471
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01523930057967371
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
