Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.04887073550028749,0.0,0.09528086557205588,1.2519894769372975
2,0.0,0.0,0.0,0.0,0.0,0.04932678499078822,0.0,0.040883662449207686,0.6991665519889825
3,0.0,0.0,0.0,0.0,0.0,0.023224987200241295,0.11494995846267092,0.29217776402817336,1.1878089387688484
4,0.0,0.0,0.0,0.0,0.0,0.03442732746601231,0.0,0.29833260178503385,1.190241027660492
5,0.0,0.0,0.0,0.0,0.0,0.020275584311988653,0.10258045331197811,1.8953760134728008,1.49814218085642
6,0.0,0.0,0.0,0.0,0.0,0.0393505838293917,0.0,0.12533929485654938,2.4031821088072736
7,0.0,0.0,0.0,0.0,0.0,0.06216284239829245,0.3723940949410765,0.5908785756806137,1.779846443617902
8,0.0,0.0,0.0,0.0,0.0,0.02426131110387212,0.0,0.29071779714211676,1.8650160303001357
9,0.0,0.0,0.0,0.0,0.0,0.011422756452880253,0.0,0.016137360668832215,0.18435399174828582
10,0.0,0.0,0.0,0.0,0.0,0.025087999044687524,0.0,0.17151224278325136,1.0388809378877404
11,0.0,0.0,0.0,0.0,0.0,0.06562017044802752,0.022947267392926973,1.0378187001002175,2.6892289329038634
12,0.0,0.0,0.0,0.0,0.0,0.019400371416985415,0.2976161437932455,0.011241789549113552,0.4436601696351875
13,0.0,0.0,0.0,0.0,0.0,0.02167941821319379,0.0,0.46216954376517094,1.5022762931219076
14,0.0,0.0,0.0,0.0,0.0,0.2522869009310396,0.039410819596229024,0.8617271185994714,1.3220717909546502
15,0.0,0.0,0.0,0.0,0.0,0.3026022266923115,0.0,0.5675587308949165,3.3038458331857576
