Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013146612957936428
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03670114849329465
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017614977481697425
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4067305911531318
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02078200844033055
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11993532052812154
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06760576921890066
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08720150701420756
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16918660180614062
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02282048499087103
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013952138856118432
