Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.0,0.0,0.6355586752295557,1.1087326782985716,0.9797187729071921
2,0.0,0.0,0.0,0.0,0.0,0.0,0.1799427037279677,1.1410353227641485,1.3042382552632406
3,0.0,0.0,0.0,0.0,0.0,0.0,1.092520111487117,1.1485537394072003,2.981465461284432
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0901078559538848,1.405150644714321,0.7018447937541918
5,0.0,0.0,0.0,0.0,0.0,0.0,0.22516389771092554,0.4697691689280525,0.7126594653619523
6,0.0,0.0,0.0,0.0,0.0,0.0,0.5312138494984368,1.8928105795461798,1.7123127685702237
7,0.0,0.0,0.0,0.0,0.0,0.0,0.14724753817133782,2.89439899549722,3.6787530238055757
8,0.0,0.0,0.0,0.0,0.0,0.0,0.5542615455373858,1.2470058630315848,1.814709540412208
9,0.0,0.0,0.0,0.0,0.0,0.0,0.11016775793777793,1.2977795980273596,2.7453869656836254
10,0.0,0.0,0.0,0.0,0.0,0.0,0.7161435897368708,1.0619075339102977,2.454383637890469
11,0.0,0.0,0.0,0.0,0.0,0.0,0.39966469918332953,1.1358300127502154,1.8496804305385268
12,0.0,0.0,0.0,0.0,0.0,0.0,0.3329385844797179,1.3729966031563563,1.5717554295027374
13,0.0,0.0,0.0,0.0,0.0,0.0,1.2372871416617104,3.1286825451291125,1.437466616903223
14,0.0,0.0,0.0,0.0,0.0,0.0,0.6791469948490003,1.6702443950100565,2.0948380254237384
15,0.0,0.0,0.0,0.0,0.0,0.0,1.8685615952637578,5.402350802724248,2.992013365074828
