Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.0,0.0,0.32457074018185755,0.5259298006328601,0.9082659605087737,2.4558552881019065,6.439908940946396
2,0.0,0.0,0.0,0.0,0.1834127427659908,0.39410954805833187,0.740585666286515,1.8808554921290908,3.1635380848440335
3,0.0,0.0,0.0,0.0,0.19415347288497556,0.8312970073064203,1.3321376234820292,2.4526828037222392,2.721372270909508
4,0.0,0.0,0.0,0.0,0.47545991430150014,1.069387887130478,2.4131565420446766,6.026775968005187,10.041466314345605
5,0.0,0.0,0.0,0.0,0.6970139201268969,0.17431243869126956,1.74149723056838,3.1913325384409985,1.1663034031473523
6,0.0,0.0,0.0,0.0,0.30397434585423727,1.5321815651323563,4.373399357750509,3.198132756516868,3.8425154365139402
7,0.0,0.0,0.0,0.0,0.1625148587481527,0.14373014245867627,1.1975105840458968,4.418044953918376,2.404255598206574
8,0.0,0.0,0.0,0.0,0.144051104403712,0.43061063897576213,1.8770215646862765,2.749955898538666,3.916116915230511
9,0.0,0.0,0.0,0.0,0.20936784121247576,0.29232743508747877,1.000909161465005,2.418294223644843,2.0848783208864132
10,0.0,0.0,0.0,0.0,0.21447456530363693,0.47038878504110815,1.5345973031689728,2.5095973833085603,3.754136057092956
11,0.0,0.0,0.0,0.0,0.17832499483307945,0.42444734218396046,1.265331595987499,2.411753219104069,8.402751058097776
12,0.0,0.0,0.0,0.0,0.10160479298297156,0.7739435566632868,2.7603030630283136,2.423775037721355,4.5328855388265685
13,0.0,0.0,0.0,0.0,0.5644422130926793,1.1933648689355283,1.1962983289292597,4.38212899111039,9.00422303768005
14,0.0,0.0,0.0,0.0,0.3633341397727831,0.8883904884624285,1.4698418542050866,2.4681434191688316,4.403519763465554
15,0.0,0.0,0.0,0.0,0.8469757277557639,2.6596544887111713,6.55195026168192,15.299844006288442,23.243080056014087
