Topic,1976 to 1980,1981 to 1985,1986 to 1990,1991 to 1995,1996 to 2000,2001 to 2005,2006 to 2010,2011 to 2015,2016 to 2020
1,0.0,0.0,0.014020101785117423,0.0,0.02590499416902246,0.015377708450658636,0.03891119765287319,0.37656360045781295,1.38073325803559
2,0.0,0.0,0.05096214411884475,0.0,0.0924289516144316,0.016877813913031888,0.10712595295452448,0.31733024702621576,1.7846404177582558
3,0.0,0.0,0.027702800137275156,0.0,0.04027270869414931,0.2635625420682501,0.07781607008821495,0.774933757979421,0.8969351346846463
4,0.0,0.0,0.12160381407691137,0.0,0.2807623903957124,0.8957109761375572,1.0143702718837577,4.971921259674545,6.5661819922034415
5,0.0,0.0,0.012410648432563117,0.0,0.0,0.47500246937645524,0.7640796163542176,1.510664408289684,0.44207738510956673
6,0.0,0.0,0.18968559832916723,0.0,0.011008748375640778,0.2712701487489778,0.30699935046432447,2.290411314132115,2.552169278533233
7,0.0,0.0,0.015016715614286929,0.0,0.022279619837311113,0.03024336232811758,0.05550571626311497,0.7615994485360748,0.4107434810378742
8,0.0,0.0,0.028660983209140223,0.0,0.061853661287974517,0.11115670829771734,0.18061031280634243,1.2982939989690494,1.760637748757542
9,0.0,0.0,0.01115240002827323,0.0,0.0,0.01128935135630433,0.022232928899374924,1.5368847558628957,2.005345419633507
10,0.0,0.0,0.05663309050500157,0.0,0.026346342287398832,0.07077174189841993,0.18784986130721087,0.8861760284437591,1.308071868352156
11,0.0,0.0,0.02497061087255539,0.0,0.03482567213540961,0.05396674164804138,0.08703443513891652,0.5882047768270031,1.5295087035626835
12,0.0,0.0,0.01028605956393391,0.0,0.0,0.012314702232565571,0.21941180073625116,1.6074326283526528,0.8701680160354066
13,0.0,0.0,0.02671273868808178,0.0,0.0,0.28166159369445454,0.5525798201051388,0.5356732221397869,2.84506099341271
14,0.0,0.0,0.042164116536654396,0.0,0.04450314698285215,0.04987466165917292,0.25552605148361573,1.4278187242582392,1.836176688915692
15,0.0,0.0,0.36801817810219334,0.0,0.3289622570617789,0.34820481447580903,0.997534358679542,1.490786505998172,5.291483436464394
