Journal,First Publication,Number of Abstracts
A and A Case Reports,2016,1
A and A Practice,2018,4
A&A practice,2019,4
AACN advanced critical care,2010,1
AANA Journal,2018,1
ASAIO Journal,2019,1
Abdominal Imaging,2015,1
Abdominal Radiology,2017,1
Academic Emergency Medicine,2000,60
Academic Radiology,2014,3
Acta Anaesthesiologica Scandinavica,2011,4
Acta Cardiologica,2020,1
Acta Clinica Belgica: International Journal of Clinical and Laboratory Medicine,2019,1
Acta Informatica Medica,2019,1
Acta Medica Mediterranea,2014,2
"Acta Paediatrica, International Journal of Paediatrics",2017,2
Acta Radiologica,1992,1
Acta Radiologica Open,2019,1
Acta medica Croatica : casopis Hravatske akademije medicinskih znanosti,2012,1
Acute Medicine,2010,4
Acute medicine,2015,3
Advances in physiology education,2019,1
Aerospace medicine and human performance,2016,1
African Journal of Emergency Medicine,2016,10
Air Medical Journal,2017,5
Akademik Acil Tip Olgu Sunumlari Dergisi,2014,1
American Family Physician,2020,1
American Heart Journal,2010,1
American Journal of Cardiology,1988,2
American Journal of Case Reports,2013,4
American Journal of Emergency Medicine,1992,136
American Journal of Medicine,2017,2
American Journal of Nephrology,2019,1
American Journal of Obstetrics and Gynecology,2009,1
American Journal of Respiratory and Critical Care Medicine,2011,1
American Journal of Roentgenology,2013,3
American Journal of Transplantation,2012,1
American Journal of Tropical Medicine and Hygiene,2017,3
American Surgeon,1997,1
American journal of physical medicine & rehabilitation,2018,1
Anaesthesia,2006,4
Anaesthesia Critical Care and Pain Medicine,2017,2
Anaesthesia and Intensive Care,2018,1
"Anaesthesia, Pain and Intensive Care",2019,1
Anaesthesiology Intensive Therapy,2017,3
Anales de Pediatria,2017,2
Anatomical sciences education,2014,1
Anesthesia and Analgesia,2013,4
Anesthesia and analgesia,2019,1
Anesthesiology,2015,6
Annales Francaises d'Anesthesie et de Reanimation,2013,2
Annali Italiani di Medicina Interna,1999,1
Annals of Emergency Medicine,1999,8
Annals of Intensive Care,2018,2
Annals of Pharmacotherapy,2013,1
Annals of Transplantation,2017,1
Annals of Vascular Surgery,2018,2
Annals of family medicine,2019,1
"Annals of the Academy of Medicine, Singapore",1992,1
Antimicrobial Resistance and Infection Control,2016,1
Applied Radiology,2017,1
Archives of Academic Emergency Medicine,2019,1
Archives of Bone and Joint Surgery,2018,1
Archives of Cardiovascular Diseases,2015,2
Archives of Disease in Childhood,2019,1
Archives of Disease in Childhood: Education and Practice Edition,2019,1
Archives of Gynecology,1982,1
Archives of the Balkan Medical Union,2014,1
Atencion Primaria,2018,7
Australasian Journal of Ultrasound in Medicine,2018,13
Australasian emergency care,2020,1
Australian and New Zealand Journal of Obstetrics and Gynaecology,2009,1
Aviation Space and Environmental Medicine,2002,1
BMC Anesthesiology,2016,3
BMC Emergency Medicine,2015,4
BMC Infectious Diseases,2018,1
BMC Medical Education,2007,1
BMC Medical Informatics and Decision Making,2006,1
BMC Pediatrics,2019,1
BMC Pulmonary Medicine,2018,1
BMC family practice,2020,1
BMC health services research,2018,2
BMC medical education,2012,8
BMC nephrology,2019,1
BMJ Case Reports,2012,9
BMJ Open,2013,4
BMJ case reports,2012,2
BioMed Research International,2014,1
Biomedical Journal,2013,1
Blood Coagulation and Fibrinolysis,2017,1
Blood Purification,2018,2
Boletin de la Asociacion Medica de Puerto Rico,2009,1
Brazilian Journal of Anesthesiology,2019,2
British Journal of Anaesthesia,2019,1
British Journal of Oral and Maxillofacial Surgery,2017,1
"British journal of hospital medicine (London, England : 2005)",2017,1
Bulletin of Emergency and Trauma,2019,1
CANNT journal ,2015,1
CJEM,2015,4
Canadian Association of Radiologists Journal,2013,2
Canadian Family Physician,2012,3
Canadian Journal of Anesthesia,2008,11
Canadian Journal of Cardiology,2019,1
Canadian Journal of Emergency Medicine,2004,32
Canadian Journal of Gastroenterology and Hepatology,2016,1
Canadian Journal of Ophthalmology,2016,1
Canadian family physician Medecin de famille canadien,2009,1
Canadian journal of rural medicine : the official journal of the Society of Rural Physicians of Canada ,2006,2
Canadian journal of surgery,2016,2
Cardiology Research and Practice,2019,1
Cardiology in the Young,2015,2
Cardiovascular Ultrasound,2014,1
Cardiovascular ultrasound,2018,1
"Chemistry (Weinheim an der Bergstrasse, Germany)",2017,1
Chest,1995,5
Child's Nervous System,1991,1
Chinese Journal of Traumatology - English Edition,2017,1
Chinese Medical Journal,2011,1
"Chirurgia (Bucharest, Romania : 1990)",2010,1
Circulation,2017,2
Clinical Cardiology,2018,1
Clinical Imaging,2015,1
Clinical Intensive Care,1993,1
"Clinical Medicine, Journal of the Royal College of Physicians of London",2013,1
Clinical Nephrology,2018,1
Clinical Neurology and Neurosurgery,2011,1
