Number of Topics,Gensim,Mallet,Sklearn
5,0.4130544229157998,0.46272457096967246,0.47137525018072435
10,0.42403829054326286,0.49292728601884284,0.4051123494739711
15,0.3786138241437218,0.5043979723993781,0.40641940553898803
20,0.372178348615518,0.46665762745415734,0.398754806725094
25,0.3710995465760464,0.4846238551793433,0.4217679019939149
30,0.3686213224143179,0.4732112976316365,0.3924506109788291
35,0.36567223607220384,0.4650113264086403,0.37594159788364007
40,0.3592253828952182,0.4722004596693603,0.4017074947784948
45,0.3522147796352965,0.46028308903269444,0.414125377903454
50,0.3452490858804946,0.4650883133625868,0.4295144076504641
