Number of Topics,Gensim,Mallet,Sklearn
5,18.350857973098755,34.604499101638794,5.462358474731445
10,16.547746896743774,34.52884602546692,3.7170608043670654
15,16.28943705558777,35.03413391113281,4.257612705230713
20,16.22859835624695,34.926353931427,4.729384422302246
25,16.79907488822937,35.02495622634888,5.090385437011719
30,17.358346462249756,34.868799686431885,5.46241569519043
35,17.06037473678589,35.018924951553345,5.975049734115601
40,16.492892742156982,35.1149365901947,6.672157049179077
45,16.99155879020691,35.33653688430786,7.259584903717041
50,16.910776615142822,35.70394325256348,8.312794923782349
