Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,2,5,10,27,47,59,63,56
2,6,22,28,45,47,77,148,148
3,40,46,68,61,90,81,211,291
4,0,3,2,10,13,48,155,216
5,2,4,26,28,27,36,22,26
6,12,20,56,89,103,94,192,133
7,21,85,86,73,71,87,124,104
8,9,13,19,91,115,103,166,87
9,3,7,26,26,50,77,108,156
10,17,24,15,28,33,54,131,100
11,12,25,82,87,78,86,147,130
12,67,133,136,79,94,78,119,80
13,14,47,73,67,56,39,61,56
14,7,13,14,14,20,35,80,144
15,13,14,35,51,53,56,84,99
16,1,2,12,19,27,42,103,134
17,4,12,22,41,55,44,134,140
18,21,46,62,84,72,108,89,87
19,6,9,10,22,36,52,71,78
20,1,7,10,23,51,83,124,127
21,1,28,40,47,48,52,110,55
22,4,10,16,35,59,93,239,130
23,7,21,31,54,86,101,236,279
24,10,46,30,14,26,64,147,94
25,17,28,66,84,58,43,37,31
26,2,22,38,56,109,106,189,124
27,16,36,41,43,38,47,64,55
28,14,32,40,41,53,65,107,146
29,16,25,34,53,90,72,178,182
30,38,52,57,48,37,77,115,89
31,19,24,25,18,12,27,84,102
32,7,24,28,36,67,88,165,164
33,42,59,56,54,29,56,99,139
34,1,0,5,15,41,67,141,174
35,16,23,49,93,92,182,346,320
36,7,18,72,84,142,136,172,200
37,7,23,45,43,51,79,139,133
38,6,7,17,22,32,50,88,110
39,21,39,36,30,22,44,50,44
40,27,56,73,71,63,59,125,119
