Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,0,0,0,6,18,27,16,8
2,0,0,1,16,12,24,20,27
3,0,0,0,11,24,10,20,10
4,0,0,0,2,7,7,36,4
5,0,0,0,4,9,13,15,7
6,0,0,0,36,36,48,45,33
7,0,0,0,14,10,11,13,3
8,0,0,1,30,34,41,29,12
9,0,0,0,10,14,26,15,21
10,0,0,0,5,8,16,17,6
11,0,0,5,44,52,48,54,26
12,0,0,3,39,63,38,31,8
13,0,0,0,16,25,15,12,2
14,0,0,0,2,13,7,13,14
15,0,0,2,15,21,30,21,23
16,0,0,1,7,10,19,17,32
17,0,0,1,13,19,18,35,25
18,0,0,0,10,10,32,9,2
19,0,0,0,3,12,14,10,22
20,0,0,1,9,20,22,41,40
21,0,0,0,12,20,27,18,4
22,0,0,1,8,28,34,59,19
23,0,0,0,15,28,34,72,58
24,0,0,1,4,12,13,27,10
25,0,0,5,26,25,16,14,4
26,0,0,5,19,22,26,22,21
27,0,0,1,11,10,12,20,2
28,0,0,0,11,13,14,19,16
29,0,0,1,17,35,16,32,29
30,0,0,0,18,12,12,10,3
31,0,0,5,4,2,9,5,4
32,0,0,3,16,52,68,61,12
33,0,0,0,11,11,14,17,10
34,0,0,0,5,22,28,47,42
35,0,0,3,31,60,131,187,121
36,0,0,3,23,42,37,37,32
37,0,0,1,18,15,20,19,8
38,0,0,0,10,19,25,37,19
39,0,0,1,3,7,4,7,0
40,0,0,0,23,23,13,9,9
