Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,2,3,7,15,12,7,13,5
2,5,17,13,13,5,10,13,12
3,31,16,31,12,13,5,12,9
4,0,2,2,3,4,7,8,12
5,2,2,16,11,7,3,1,4
6,9,15,38,23,24,18,20,14
7,17,54,55,32,28,23,10,11
8,6,9,14,43,52,30,9,6
9,1,5,16,8,19,19,37,32
10,11,16,10,11,16,15,8,10
11,10,17,38,21,12,13,15,12
12,40,101,84,27,16,16,13,7
13,9,37,53,35,4,2,7,7
14,7,10,7,5,0,3,12,20
15,12,12,23,24,21,17,23,19
16,1,1,10,4,5,9,19,18
17,3,7,14,16,17,9,27,31
18,14,25,36,48,27,28,21,9
19,6,4,8,14,21,20,18,10
20,1,5,7,10,21,32,24,17
21,0,21,29,22,16,9,32,10
22,3,8,7,9,16,34,28,21
23,4,13,19,16,32,41,49,38
24,8,22,19,3,4,15,7,6
25,17,15,39,24,17,9,3,2
26,2,14,27,24,38,28,21,13
27,11,22,22,15,11,3,1,2
28,11,21,27,10,20,9,16,19
29,13,18,17,19,15,7,21,10
30,34,35,39,15,7,17,8,7
31,18,14,11,10,3,4,8,11
32,6,14,16,10,5,8,8,11
33,35,37,38,32,15,9,11,15
34,1,0,3,8,9,10,12,16
35,15,13,25,45,27,34,73,85
36,7,13,52,34,41,49,37,49
37,7,9,24,12,15,5,9,3
38,6,5,10,7,7,11,1,11
39,20,21,20,6,5,7,3,4
40,23,37,45,26,17,12,16,10
